type,value,comment
domain,alisverisinkalbi[.]best,2nd level redirector top domain
domain,clinicafamiliahispana[.]com,2nd level redirector top domain
domain,coficity[.]com,2nd level redirector top domain
domain,compensate[.]cyou,2nd level redirector top domain
domain,contexcapital[.]com,2nd level redirector top domain
domain,cpdm8u0ya5ndgw2vek[.]site,2nd level redirector top domain
domain,dakotaindeck[.]website,2nd level redirector top domain
domain,daktronicss[.]com,2nd level redirector top domain
domain,davejs[.]top,2nd level redirector top domain
domain,davetn[.]top,2nd level redirector top domain
domain,difmlaw[.]com,2nd level redirector top domain
domain,dinheiroagora[.]icu,2nd level redirector top domain
domain,estafetamnr[.]top,2nd level redirector top domain
domain,estafetaovt[.]top,2nd level redirector top domain
domain,estrellaj[.]com,2nd level redirector top domain
domain,fbusercenter[.]top,2nd level redirector top domain
domain,forceunlockx[.]top,2nd level redirector top domain
domain,foxworkz[.]com,2nd level redirector top domain
domain,freetogetstarted[.]com,2nd level redirector top domain
domain,herbalhealingforchildren[.]com,2nd level redirector top domain
domain,hgeventservices[.]com,2nd level redirector top domain
domain,imlxjqla1[.]top,2nd level redirector top domain
domain,liberaricoffee[.]com,2nd level redirector top domain
domain,lspcf7rq1[.]top,2nd level redirector top domain
domain,maekss[.]com,2nd level redirector top domain
domain,mavigelinim[.]com,2nd level redirector top domain
domain,minelab-tech[.]com,2nd level redirector top domain
domain,moneylioonzp[.]top,2nd level redirector top domain
domain,motorsignhsrp[.]com,2nd level redirector top domain
domain,olibroom[.]com,2nd level redirector top domain
domain,paradigmjewels[.]com,2nd level redirector top domain
domain,scottish-images[.]com,2nd level redirector top domain
domain,sdstudyabroad[.]com,2nd level redirector top domain
domain,services-channelplus[.]com,2nd level redirector top domain
domain,superlays[.]store,2nd level redirector top domain
domain,tjxe7zkxe[.]top,2nd level redirector top domain
domain,vickypitner[.]com,2nd level redirector top domain
domain,vpaaywdw[.]cfd,2nd level redirector top domain
domain,xiangpet[.]site,2nd level redirector top domain
domain,yearbookarchive[.]com,2nd level redirector top domain
domain,zhuangatlantic[.]site,2nd level redirector top domain
domain,teamcanadafoundation[.]com,2nd level redirector top domain
domain,rrn[.]media,Final content website (Fabricated news website)
domain,tribunalukraine[.]info,Final content website (Fabricated news website)
domain,allons-y[.]social,Final content website (Fabricated news website)
domain,artichoc[.]io,Final content website (Fabricated news website)
domain,candidat[.]news,Final content website (Fabricated news website)
domain,franceeteu[.]today,Final content website (Fabricated news website)
domain,lavirgule[.]news,Final content website (Fabricated news website)
domain,lesfrontieres[.]media,Final content website (Fabricated news website)
domain,lexomnium[.]com,Final content website (Fabricated news website)
domain,notrepays[.]today,Final content website (Fabricated news website)
domain,la-sante[.]info,Final content website (Fabricated news website)
domain,laterrasse[.]online,Final content website (Fabricated news website)
domain,le-continent[.]com,Final content website (Fabricated news website)
domain,lebelligerant[.]com,Final content website (Fabricated news website)
domain,lesifflet[.]net,Final content website (Fabricated news website)
domain,arbeitspause[.]org,Final content website (Fabricated news website)
domain,besuchszweck[.]org,Final content website (Fabricated news website)
