type,value,comment
hostname,publishers-lamps-enhancement-puzzles.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,s2ncrkpn-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,kelkoo-mileage-tiffany-engaged.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,stockholm-acdbentity-damage-venture.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,penguin-being-temple-thereby.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,mature-cart-dm-reunion.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,intranet-modular-bouquet-out.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,reproduce-donation-thumbs-puts.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,1c3kjp3n-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,marshall-bride-jake-charges.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,j8g8v3h7-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,jail-josh-saved-hottest.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,syndicate-kansas-mary-broadway.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,w5x97wfp-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,francis-socket-supervisor-jeremy.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,6193s0vk-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,schemes-letter-survey-annoying.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,dtjrjm6h-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,mass-layer-foods-absence.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,texts-space-administration-count.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,exports-being-terrible-pottery.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,tsbm5wrl-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,execute-perfume-junior-ss.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,lm9s4frh-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,biodiversity-ev-sought-indicating.trycloudflare[.]com,"Cloudflare quick tunnel"
hostname,lt5md15z-80.euw.devtunnels[.]ms,"Microsoft dev tunnels"
hostname,somerset-homeless-angel-marble.trycloudflare[.]com,"Cloudflare quick tunnel"
